@RELATION PBDNN
10@ATTRIBUTE NN-5	numeric10@ATTRIBUTE NN-4	numeric10@ATTRIBUTE NN-3	numeric10@ATTRIBUTE NN-2	numeric10@ATTRIBUTE NN-1	numeric10@ATTRIBUTE NN0	numeric10@ATTRIBUTE NN1	numeric10@ATTRIBUTE NN10	numeric10@ATTRIBUTE NN11	numeric10@ATTRIBUTE NN12	numeric10@ATTRIBUTE NN13	numeric10@ATTRIBUTE NN14	numeric10@ATTRIBUTE NN15	numeric10@ATTRIBUTE class	numeric1010@DATA1310-1.28, -1.3, -1, -1, -1.28, -1.44, -9.16, -0.88, -1.3, -1.28, -1.3, -1.45, -1.44, 0
-1.3, -1, -1, -1.28, -1.44, -0.58, -9.46, -1.3, -1.28, -1.3, -1.45, -1.44, -2.17, 0
-1, -1, -1.28, -1.44, -0.58, -1, -9.76, -1.28, -1.3, -1.45, -1.44, -2.17, -1.3, 0
-1, -1.28, -1.44, -0.58, -1, -1, -10.04, -1.3, -1.45, -1.44, -2.17, -1.3, -0.88, 0
-1.28, -1.44, -0.58, -1, -1, -1.28, -10.06, -1.45, -1.44, -2.17, -1.3, -0.88, -1.3, 0
-1.44, -0.58, -1, -1, -1.28, -1.3, -10.21, -1.44, -2.17, -1.3, -0.88, -1.3, -1.45, 0
-0.58, -1, -1, -1.28, -1.3, -1, -10.65, -2.17, -1.3, -0.88, -1.3, -1.45, -1.44, 0
-1, -1, -1.28, -1.3, -1, -1, -11.82, -1.3, -0.88, -1.3, -1.45, -1.44, -1.45, 0
-1, -1.28, -1.3, -1, -1, -1, -12.12, -0.88, -1.3, -1.45, -1.44, -1.45, -1, 0
-1.28, -1.3, -1, -1, -1, -1, -12, -1.3, -1.45, -1.44, -1.45, -1, -0.88, 0
-1.3, -1, -1, -1, -1, -0.88, -12.42, -1.45, -1.44, -1.45, -1, -0.88, -1.3, 0
-1, -1, -1, -1, -0.88, -1.3, -12.57, -1.44, -1.45, -1, -0.88, -1.3, -2.17, 0
-1, -1, -1, -0.88, -1.3, -1.28, -12.73, -1.45, -1, -0.88, -1.3, -2.17, -1.3, 0
-1, -1, -0.88, -1.3, -1.28, -1.3, -12.88, -1, -0.88, -1.3, -2.17, -1.3, -0.88, 0
